age,birthreg,cbsasz,disability,educrec,elignatz,entryc,famstruct,forborn,govtemp,health,hhhsize,inscov,male,marst,natz,ownchild,ownhome,pernum,perwt,povpct,race,serial,statefip,statereg,tmetro_intv,veteran,work,year
33,0,0,0,3,0,NA,1,0,0,4,7,1,1,1,0,1,1,5,1059,178.47232,4,145,23,5,1,0,2,2016
15,0,0,0,1,0,NA,1,0,0,1,7,1,1,6,0,0,1,6,904,178.47232,1,145,23,5,1,0,4,2016
10,0,0,0,1,0,NA,1,0,0,1,7,1,0,6,0,0,1,7,697,178.47232,1,145,23,5,1,0,0,2016
57,0,0,0,3,0,NA,1,0,0,2,4,1,1,1,0,1,1,1,630,500,1,148,23,5,1,0,1,2016
53,0,0,0,3,0,NA,1,0,1,2,4,1,0,1,0,1,1,2,630,500,1,148,23,5,1,0,1,2016
15,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,3,511,500,1,148,23,5,1,0,4,2016
13,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,4,566,500,1,148,23,5,1,0,0,2016
39,0,0,0,4,0,NA,1,0,0,5,4,1,1,1,0,1,0,1,588,22.886503,1,149,23,5,1,0,1,2016
36,0,0,1,4,0,NA,1,0,0,5,4,1,0,1,0,1,0,2,588,22.886503,1,149,23,5,1,0,1,2016
11,0,0,0,1,0,NA,1,0,0,2,4,1,1,6,0,0,0,3,789,22.886503,1,149,23,5,1,0,0,2016
6,0,0,0,1,0,NA,1,0,0,2,4,1,0,6,0,0,0,4,567,22.886503,1,149,23,5,1,0,0,2016
49,0,0,0,2,0,NA,1,0,0,2,4,1,1,1,0,1,1,1,551,289.77341,1,150,23,5,1,0,1,2016
45,0,0,0,3,0,NA,1,0,1,2,4,1,0,1,0,1,1,2,551,289.77341,1,150,23,5,1,0,1,2016
18,0,0,0,1,0,NA,1,0,0,2,4,1,0,6,0,0,1,3,937,289.77341,1,150,23,5,1,0,1,2016
13,0,0,0,1,0,NA,1,0,0,5,4,1,0,6,0,0,1,4,634,289.77341,1,150,23,5,1,0,0,2016
58,0,0,0,4,0,NA,1,0,0,2,2,1,1,1,0,0,1,1,1177,119.08512,1,155,23,5,1,0,5,2016
50,0,0,0,4,0,NA,1,0,0,2,2,1,0,1,0,0,1,2,1177,119.08512,1,155,23,5,1,0,1,2016
36,0,0,0,3,0,NA,2,0,0,4,2,0,1,4,0,1,0,1,1762,91.828362,1,159,23,5,1,0,1,2016
2,0,0,0,1,0,NA,2,0,0,1,2,0,0,6,0,0,0,2,1229,91.828362,1,159,23,5,1,0,0,2016
42,0,0,0,2,0,NA,5,0,0,1,1,1,0,5,0,0,1,1,1808,88.13559,1,160,23,5,1,0,1,2016
28,0,0,0,2,0,NA,2,0,0,2,2,0,1,6,0,1,0,1,931,500,1,161,23,5,1,0,1,2016
3,0,0,0,1,0,NA,2,0,0,1,2,1,1,6,0,0,0,2,785,500,1,161,23,5,1,0,0,2016
63,0,0,0,2,0,NA,5,0,0,3,2,1,0,6,0,0,1,1,1038,313.0322,1,164,23,5,1,0,1,2016
58,0,0,0,2,0,NA,4,0,0,3,2,1,1,6,0,0,1,2,1038,487.3895,1,164,23,5,1,0,1,2016
29,0,0,0,2,0,NA,4,0,0,3,1,1,1,3,0,0,0,1,1267,233.16844,1,165,23,5,1,0,1,2016
30,11,0,0,2,1,5,3,1,0,3,5,1,0,6,1,1,1,1,830,235.582,3,166,23,5,1,0,1,2016
8,0,0,0,1,0,NA,3,0,0,1,5,1,1,6,0,0,1,2,544,235.582,3,166,23,5,1,0,0,2016
56,11,0,0,2,1,5,1,1,0,3,5,1,0,1,1,1,1,3,865,235.582,3,166,23,5,1,0,1,2016
58,11,0,0,2,1,6,1,1,0,3,5,1,1,1,1,1,1,4,865,235.582,3,166,23,5,1,0,1,2016
16,0,0,0,1,0,NA,1,0,0,1,5,1,0,6,0,0,1,5,973,235.582,3,166,23,5,1,0,4,2016
43,0,0,0,4,0,NA,3,0,0,1,4,1,0,4,0,1,0,1,746,377.93256,1,167,23,5,1,0,1,2016
14,0,0,0,1,0,NA,3,0,0,2,4,1,1,6,0,0,0,2,728,377.93256,1,167,23,5,1,0,0,2016
13,0,0,0,1,0,NA,3,0,0,2,4,1,0,6,0,0,0,3,621,377.93256,1,167,23,5,1,0,0,2016
44,0,0,0,3,0,NA,4,0,0,3,4,1,1,4,0,1,0,4,746,194.63953,1,167,23,5,1,0,1,2016
80,0,0,0,4,0,NA,1,0,0,2,2,1,1,1,0,0,1,1,1289,203.99274,1,169,23,5,1,1,5,2016
72,0,0,0,4,0,NA,1,0,0,2,2,1,0,1,0,0,1,2,1289,203.99274,1,169,23,5,1,0,5,2016
56,0,0,0,4,0,NA,4,0,0,3,1,1,1,3,0,0,1,1,1072,466.41797,1,171,23,5,1,1,1,2016
40,0,0,0,3,0,NA,1,0,0,3,3,1,0,1,0,1,0,1,939,59.424469,1,174,23,5,1,0,2,2016
29,0,0,1,3,0,NA,1,0,0,5,3,1,1,1,0,1,0,2,939,59.424469,1,174,23,5,1,0,3,2016
15,0,0,0,1,0,NA,1,0,0,2,3,1,1,6,0,0,0,3,910,59.424469,1,174,23,5,1,0,4,2016
37,0,0,0,2,0,NA,1,0,0,1,6,1,1,1,0,1,1,1,803,373.38174,1,175,23,5,1,0,1,2016
37,0,0,0,4,0,NA,1,0,0,4,6,1,0,1,0,1,1,2,803,373.38174,1,175,23,5,1,0,1,2016
16,0,0,0,1,0,NA,1,0,0,1,6,1,1,6,0,0,1,3,1030,373.38174,1,175,23,5,1,0,4,2016
13,0,0,0,1,0,NA,1,0,0,1,6,1,0,6,0,0,1,4,688,373.38174,1,175,23,5,1,0,0,2016
11,0,0,0,1,0,NA,1,0,0,1,6,1,0,6,0,0,1,5,657,373.38174,1,175,23,5,1,0,0,2016
8,0,0,0,1,0,NA,1,0,0,1,6,1,0,6,0,0,1,6,739,373.38174,1,175,23,5,1,0,0,2016
85,0,0,0,2,0,NA,5,0,0,4,1,1,0,5,0,0,1,1,814,195.84763,4,177,23,5,1,0,5,2016
43,0,0,1,1,0,NA,3,0,0,5,2,1,0,6,0,0,1,1,792,68.666122,1,178,23,5,1,0,3,2016
18,0,0,0,1,0,NA,3,0,0,1,2,1,0,6,0,0,1,2,847,68.666122,1,178,23,5,1,0,1,2016
59,0,0,0,2,0,NA,1,0,0,1,2,1,0,1,0,0,1,1,1423,343.21088,1,182,23,5,1,0,1,2016
